pclass,age,gender,survived,prediction
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,male,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
1st,adult,female,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,yes,yes
2nd,adult,male,no,yes
2nd,adult,male,no,yes
2nd,adult,male,no,yes
2nd,adult,male,no,yes
2nd,adult,male,no,yes
2nd,adult,female,yes,yes
2nd,adult,female,yes,yes
2nd,adult,female,yes,yes
2nd,adult,female,yes,yes
2nd,adult,female,yes,yes
2nd,adult,female,yes,yes
2nd,adult,female,yes,yes
2nd,child,female,yes,yes
2nd,child,female,yes,yes
2nd,child,female,yes,yes
2nd,child,female,yes,yes
2nd,child,female,yes,yes
3rd,adult,male,yes,no
3rd,adult,male,yes,no
3rd,adult,male,yes,no
3rd,adult,male,yes,no
3rd,adult,male,yes,no
3rd,adult,male,yes,no
3rd,adult,male,yes,no
